rank,score,bucket,relevance,id,name,status,asset_type,capacity_mw,duration_hours,energy_gwh,investment_eur_bn,location,developer,planning_reference,technology,counting_rule,source,url,reasons
11,99,Promising,in Ireland,storage-news-9a2bd7519e42,Google and Energy Dome plan 200MWh CO2 battery project in Ireland - Energy Monitor,Watch item,Battery energy storage,200.0,,,,Ireland,,,Google and Energy Dome plan 200MWh CO2 battery project in Ireland Energy Monitor,Do not include in renewable generation totals unless this is explicitly connected renewable generation.,Energy Monitor,https://news.google.com/rss/articles/CBMifkFVX3lxTE1hVTQ0cFhXbm9DVVJlY1A5NUlfYk5BUVpNNmFNdUxpR3p3a254VVh0WEF1dzdfSXZ5VVlUUjBsY1hVLUVYeEhhWGN1Q1c3VmEtRzV2UmxfNnNCakg5WFBsbENodXRLT3IyeV80TTQ1T1lMSUxXblMtUE5yNGNZZw?oc=5,storage-specific language; Ireland-sited or Ireland-specific; >=50 MW; operational; connected; planning; counting rule present
12,99,Promising,in Ireland,storage-news-639e7bc3d33d,Google and Energy Dome Partner on 200 MWh Long-Duration Energy Storage Project in Ireland - Machine Maker,Watch item,Storage / grid flexibility,200.0,,,,Ireland,,,Google and Energy Dome Partner on 200 MWh Long-Duration Energy Storage Project in Ireland Machine Maker,Do not include in renewable generation totals unless this is explicitly connected renewable generation.,Machine Maker,https://news.google.com/rss/articles/CBMiwAFBVV95cUxQWjBGUFNJN1FnYVJRYlV3bXpvLTBOUko4WXhDcmlaQmJDTjVDcnY0LTFyLS11Y0ZSUTJJYmxndXU5YkpmYVZ3TVRJcmI1MW5vTWR2aTJvZklTYURyRGw1d1NFZW5kX0FzZWxIek5FYTVvTTl2LTItakpWV2p1TzdHXzdFQ00xMWhKR2NUM3Uzb0k0ZDBQYjBJZWpid2pTOUFsU3ZoX0FqUkw0ejV6LTIwc0QySUI1ZmpOOEExWnd1R2Y?oc=5,storage-specific language; Ireland-sited or Ireland-specific; >=50 MW; operational; connected; planning; counting rule present
13,99,Promising,in Ireland,storage-news-7d2d49086026,"Capital Dynamics JV to build 150MW/1,200MWh LDES in Northern Ireland - Solar Power Portal",Watch item,Storage / grid flexibility,150.0,,,,Ireland,,,"Capital Dynamics JV to build 150MW/1,200MWh LDES in Northern Ireland Solar Power Portal",Do not include in renewable generation totals unless this is explicitly connected renewable generation.,Solar Power Portal,https://news.google.com/rss/articles/CBMi0AFBVV95cUxNcm5pTnlZTWxscEJ2UWVwQ3M2QUdqLWUxNWNhMWw1b0JUeWNWZ3o4VnkwOXMzRVFZOFdwcVFSSVh2a0dtdkpYVjZGN0hyVTZkaV9kMDFVNER0VXk2TXF6SnJHWjhVSk5mSDFJMEdxZGZtVWsxTTVCSDVxd3pGQnJGTkItQl92X2k5QVdPem83ZmRRczItaEFyUXVVRk9xU1JVNWJoS2VpNVBpb2wxUnlxS3JCWE9LZ3BBNEhRQzJYcnFRTU1NbU9abmg1QkNFTUlK?oc=5,storage-specific language; Ireland-sited or Ireland-specific; >=50 MW; operational; connected; planning; counting rule present
14,99,Promising,in Ireland,storage-news-f16316b1a28c,UK deals: $132m long-duration BESS for Northern Ireland and a 420 MWh delivery for Drax - ESS News,Watch item,Battery energy storage,420.0,,,,Ireland,,,UK deals: $132m long-duration BESS for Northern Ireland and a 420 MWh delivery for Drax ESS News,Do not include in renewable generation totals unless this is explicitly connected renewable generation.,ESS News,https://news.google.com/rss/articles/CBMivwFBVV95cUxPdWVpSGpJekNhVUx5TXNHSllCcWk2M3BkakZZV1RBeUt3aTFiY0ptZExhVTFWSGJCWFN4TXZpdU1RaFUtbVo5Ny1hS25rMWtXZEtNRC1WZlRWY3RlZ0RVWkpESGdHV3RETlNqZjBKa1VtME9rNFNHQ0I4Rmh0Um81NjhObmVUNkp3NExlX0tEdDBadFZKRWlSVldZWEZHVGRMMzVjUEIzeUtIV2tfX1FUdHBlcXV2T0x4V3cyd3k2OA?oc=5,storage-specific language; Ireland-sited or Ireland-specific; >=50 MW; operational; connected; planning; counting rule present
15,99,Promising,in Ireland,storage-news-f38521fe0310,"EU BESS: Ireland’s first four-hour battery online, 225 MWh for Poland, Wärtsilä’s 100 MWh - ESS News",Watch item,Battery energy storage,225.0,,,,Ireland,,,"EU BESS: Ireland’s first four-hour battery online, 225 MWh for Poland, Wärtsilä’s 100 MWh ESS News",Do not include in renewable generation totals unless this is explicitly connected renewable generation.,ESS News,https://news.google.com/rss/articles/CBMizAFBVV95cUxPV1U0NTF2VjZNcXZaSXd4c3ZYOENCU1hzUm5rLWQ1ajNzTXV6allianVnVUpjMXBHYmVMM2NDUl94eFhMZzJXN1RNSFhJcDFNNzU0dU43ZjhxTEw5enZ5cC1QeWhvb0F0UkNQMXc1dUszaGV4aFF1WndacUEtQmlkTENDWFNDclZnUmc2T3d3bjBQVVdQZm03UUJsVHQtNF9mX0E3a0tuMTVZVnU4c0xkZ1dITzFxb3M2ZUFTX1ozR3FRZmN0cEFac0lWRVM?oc=5,storage-specific language; Ireland-sited or Ireland-specific; >=50 MW; operational; connected; planning; counting rule present
16,99,Promising,in Ireland,storage-news-bd5f64b31061,"Ireland’s long-duration storage path is set: Four hours, high-efficiency, and 201 MW by 2030 - Energy Storage - ESS News",Watch item,Storage / grid flexibility,201.0,,,,Ireland,,,"Ireland’s long-duration storage path is set: Four hours, high-efficiency, and 201 MW by 2030 - Energy Storage ESS News",Do not include in renewable generation totals unless this is explicitly connected renewable generation.,ESS News,https://news.google.com/rss/articles/CBMiwwFBVV95cUxOZTB0RzJjT2x1dF83R2x4UldZYnhhdnVmYm5leGJQSnlFTFg1QlJaZDZQVkRaVklUaXByWWxRSm5KOUhfNXFqVWltNGhjWkl6bjJuRHY4Um5RblhkR1hVMTFuSV81Z3BBN3R1b2ZSSm5WSVNqc0YzLXU2RjRoSEFEWDhTZFU3TGg3X2VtZUFSLXRlR1M5anhPM3NYUW1KWmFsYktVaXRWdTBGSUZGM0xhWUZncHRLMG94SDZGZF8wNndJQTQ?oc=5,storage-specific language; Ireland-sited or Ireland-specific; >=50 MW; operational; connected; planning; counting rule present
17,99,Promising,in Ireland,storage-news-1b2ed7da3414,Irish energy industry calls for 500 MW of storage capacity by 2030 - ESS News,Watch item,Storage / grid flexibility,500.0,,,,Ireland,,,Irish energy industry calls for 500 MW of storage capacity by 2030 ESS News,Do not include in renewable generation totals unless this is explicitly connected renewable generation.,ESS News,https://news.google.com/rss/articles/CBMizgFBVV95cUxOYU1tMnpNa0t3amYxWEN0QzRZVjBqWHJfdEJWT2pSa1pSMnZkWnBSaWd2YXFCNVFDY2VscFp0XzJNMFEtOFotMkI4Y25ESXprc2FxekEtSWg5Y19vSFBXemExTXU4S2VhUU9UUnQ0cXNkVS1FWTgzX2VSa0RoclhId2xTZ0pyekFMMW1WSWZTb0RpRjhnNVZsbGw3azI3am9Ya2hjeVNRdmpTb25WMTlzbTBFR3BGRFRaZ3NTU21Sc3hoX1Jqd2dORUllQ09ZUQ?oc=5,storage-specific language; Ireland-sited or Ireland-specific; >=50 MW; operational; connected; planning; counting rule present
18,99,Promising,in Ireland,storage-news-2a5c21fee598,Ireland’s Corre Energy buys 280MW Texas compressed air energy storage project - Energy-Storage.News,Watch item,Storage / grid flexibility,280.0,,,,Ireland,,,Ireland’s Corre Energy buys 280MW Texas compressed air energy storage project Energy-Storage.News,Do not include in renewable generation totals unless this is explicitly connected renewable generation.,Energy-Storage.News,https://news.google.com/rss/articles/CBMirgFBVV95cUxOUVFFZ1VSTmNRQ0FDc0Qyam9JSXBQRHg5akFuQzBzVS1LMkM0VHptTUZVbTUtMC1WS2pXN0stU3R3WDlGckxJRndnNGdkV0U2VXhraEh6anFyaXg4di1sTDMtU0NDSk1XdlczMFBPY3VpZklFamR1d2hkMzRrc2tqYW53Vm92eW5ta0VMWXZuLXhDLXZ1RzZMQ2hWX1F0NVZ1a01RaHlLUFVTREdSQkE?oc=5,storage-specific language; Ireland-sited or Ireland-specific; >=50 MW; operational; connected; planning; counting rule present
19,99,Promising,in Ireland,storage-news-b91073235ffd,Construction starts on 170MWh hybrid energy storage project in Ireland - Energy-Storage.News,Watch item,Storage / grid flexibility,170.0,,,,Ireland,,,Construction starts on 170MWh hybrid energy storage project in Ireland Energy-Storage.News,Do not include in renewable generation totals unless this is explicitly connected renewable generation.,Energy-Storage.News,https://news.google.com/rss/articles/CBMipgFBVV95cUxPMFlnaXh3aktxNGt6emkwM2FmT0NNQmttLUtZZ3VEOUFFZHpCUjlDSlc0UXNRTndwZG1SNm9IcDN5XzkwaHdmYXdYajVkUncxUFgxSmVmOHRSX3ZwVlhRNmU5cHlIUHVDV1NFMzZQT0lhb1RDdjVrbGJXUGp0dHR5UUdzdGYzY1FYU0FnUHdjbmh3M3M3SGJYaTI3QjlJTnFkSkJvWTVR?oc=5,storage-specific language; Ireland-sited or Ireland-specific; >=50 MW; operational; connected; planning; counting rule present
20,99,Promising,in Ireland,storage-news-6d369d395243,Google and Energy Dome launch 200 MWh CO2 battery project in Ireland - Interesting Engineering,Watch item,Battery energy storage,200.0,,,,Ireland,,,Google and Energy Dome launch 200 MWh CO2 battery project in Ireland Interesting Engineering,Do not include in renewable generation totals unless this is explicitly connected renewable generation.,Interesting Engineering,https://news.google.com/rss/articles/CBMilgFBVV95cUxNNG9oWXprSVd1Rzh0VXFqZGRyM3BXNlI2NV9NbW1uSkdBcU1uTklNMUh1T1huYUQ4WDlpS1l5eXdUdmw1MmJ0cjdHMjRLbTZoVkdUVHlzR0pjUEpGc0pMZDFCQUtKYmFvbjd2TGJ1RkFFT1dfektER0JQMGNYdFB4VGxFWjNLNVlic2ZYcXV1aG9kNElJckE?oc=5,storage-specific language; Ireland-sited or Ireland-specific; >=50 MW; operational; connected; planning; counting rule present
21,99,Promising,in Ireland,storage-news-55943d945454,SSE Acquires 120 MW/ 240 MWh Battery Storage Project in Ireland - mercomcapital.com,Watch item,Battery energy storage,120.0,,,,Ireland,,,SSE Acquires 120 MW/ 240 MWh Battery Storage Project in Ireland mercomcapital.com,Do not include in renewable generation totals unless this is explicitly connected renewable generation.,mercomcapital.com,https://news.google.com/rss/articles/CBMikwFBVV95cUxOSThHcEhQSDBlZ2Q1LVVQcnhObjRZYjhXRHQ5NmZGczVUbUs5MGo3WDY0RzRKY1JTOFlkOUdvcDRrbkh6SmRNX1RmYzkzaTFZTlVNQTM3ejJXajdxMUNWcjh4aXkzTjUyZ3pKb0czY0tQY2NqTDFOMURETXFHYnJxRGdhQzl5SWFQVjFZNXBCQTZ0VEU?oc=5,storage-specific language; Ireland-sited or Ireland-specific; >=50 MW; operational; connected; planning; counting rule present
22,99,Promising,in Ireland,storage-news-3de011223504,Fluence and ESB unveil 105MW/210MWh of battery energy storage projects in Ireland - Solar Power Portal,Watch item,Battery energy storage,105.0,,,,Ireland,,,Fluence and ESB unveil 105MW/210MWh of battery energy storage projects in Ireland Solar Power Portal,Do not include in renewable generation totals unless this is explicitly connected renewable generation.,Solar Power Portal,https://news.google.com/rss/articles/CBMiywFBVV95cUxNNlNwbGRZNVJyTjlldW85X1RPLXRldUZUZ3dIc0pRbWw2dGQ5SzRMbGVzdzZXUzN2ZUVpR2xmbzA2QnNNcjdybjFyLTFCcFlrQVpsS2t4TENnRVRVSmhPNEdRU2NId2JxQmluV0cyYnlKQjJsOUx0TEMtWlNmNmc1UVRUOVgwS183YXVnWGtETllyb2t3MTNuWDBpWDhXaDhOa3h1VHd5NGdYVVY3WXFMcEhCelVRdWdaT1dlTU1SNWFVRUFHUnVwZmVxTQ?oc=5,storage-specific language; Ireland-sited or Ireland-specific; >=50 MW; operational; connected; planning; counting rule present
23,99,Promising,in Ireland,storage-news-f5b70dbec2df,Irish state-owned utility ESB announces 100MWh of battery energy storage - Energy-Storage.News,Watch item,Battery energy storage,100.0,,,,Ireland,,,Irish state-owned utility ESB announces 100MWh of battery energy storage Energy-Storage.News,Do not include in renewable generation totals unless this is explicitly connected renewable generation.,Energy-Storage.News,https://news.google.com/rss/articles/CBMiqAFBVV95cUxQZWhmeUtMN01mYTUwanQ2OTRjTldBTmdfbFBiTWtDMzNvQ1A4TmZGcklIRnhYZl9NSURXaWFDOVc2WUJvaE5DajljUHJzb2g5eXl2Z3RNTHd5RXZXOW1hSnlzX1poRlJObmdVOWlTTXozaVprS1lyR1cwc2Y1VTdPV3djUE9DUk5KUFhMTV9fdFZXNW5DVUhiWDZ5M1VIUzRING9rWWRhbDQ?oc=5,storage-specific language; Ireland-sited or Ireland-specific; >=50 MW; operational; connected; planning; counting rule present
24,99,Promising,in Ireland,storage-news-79935bdfcc0d,Approval for 200 MW Italian battery owned by Ireland’s Aer Soléir - ESS News,Watch item,Battery energy storage,200.0,,,,Ireland,,,Approval for 200 MW Italian battery owned by Ireland’s Aer Soléir ESS News,Do not include in renewable generation totals unless this is explicitly connected renewable generation.,ESS News,https://news.google.com/rss/articles/CBMiowFBVV95cUxQWlVjWXdJdTROZFphM2xtcGc1R1FUMTUzdnBfNjBnTU41WnhkMVVTUFF0MFh0VF84Q0JEQmlNN1BzM0lGcGYzdmZzeTY1QXVyTFczUERyUlBKdkpmY0xkTEx4NFdUWWpEbWNPVU8tSlhKcjZiVmt6dXZld3FQSy1jdk16NWlmcnlzZ2dibGJueW1Gd0ZxUFc4eUUtN3g4anQ1R2h3?oc=5,storage-specific language; Ireland-sited or Ireland-specific; >=50 MW; operational; connected; planning; counting rule present
25,99,Promising,in Ireland,storage-news-08c5aee1fda2,ESB launches 150MW/300MWh Irish BESS - Solar Power Portal,Watch item,Battery energy storage,150.0,,,,Ireland,,,ESB launches 150MW/300MWh Irish BESS Solar Power Portal,Do not include in renewable generation totals unless this is explicitly connected renewable generation.,Solar Power Portal,https://news.google.com/rss/articles/CBMinwFBVV95cUxOOVVISGJfelVfMTRXOXpjeWhNaWRtTFB6ZFFibXNyekJpT1BSX2VabnVGRjdZZ3JhUGx2QWlBc0FLSnVVbEpZVGx6bndpTWlxcURycW1HR2Z1c3ZDc1dlVWdyODRNSXhJRHZpdnYtcngzbXRnRGJsY2NaLTVPTjF4V05oN282YTdXQmRFSGEzTDhocXhCQjQ3TXhWdmc4eXM?oc=5,storage-specific language; Ireland-sited or Ireland-specific; >=50 MW; operational; connected; planning; counting rule present
26,99,Promising,in Ireland,storage-news-d839a61a390c,SSE to build 100MW Derrymeen BESS in Northern Ireland - Solar Power Portal,Watch item,Battery energy storage,100.0,,,,Ireland,,,SSE to build 100MW Derrymeen BESS in Northern Ireland Solar Power Portal,Do not include in renewable generation totals unless this is explicitly connected renewable generation.,Solar Power Portal,https://news.google.com/rss/articles/CBMipgFBVV95cUxOZjBhTFhib1FiTGpRZkJoVEg2SUJRM1gwdmt6ai1HRlB5SnVlYnNfQzgyN1VCcHBjb3pzX05Vd2hYd0JxZ2dBUlQydEpVc1NTeEJQZjZobXl0aEw2eWctWXhlcTN1Z2FHUkdkS2NMRlZyWDVwRzg3QXQ1M3RSUmFPYm12cllPYWFmVDNvRFV1S0VVbG5lYmNPYkhnWUtKYUx5T2tueF93?oc=5,storage-specific language; Ireland-sited or Ireland-specific; >=50 MW; operational; connected; planning; counting rule present
27,99,Promising,in Ireland,storage-news-183c0cb46d81,L&G NTR Clean Power fund acquires 211MW Irish BESS and solar portfolio - Solar Power Portal,Watch item,Battery energy storage,211.0,,,,Ireland,,,L&G NTR Clean Power fund acquires 211MW Irish BESS and solar portfolio Solar Power Portal,Do not include in renewable generation totals unless this is explicitly connected renewable generation.,Solar Power Portal,https://news.google.com/rss/articles/CBMiuwFBVV95cUxOSHJuQnFnd0J5TW5OQk52Q0xzSFM1UWZfLTFZMzduQjc3WFRpNEM0R0s2VHdkS3pYbVAxWTFzWWU4ZUdyTTdGaHdidnpaMm9XTVk2VUN6TzUxenhhSFZDU3BjUThlR3lncm9URjRyWDhaclZ3ZGtaUHFGMmVzRDIydmJsWVpYekFtczVCMVJucXJMdWJIUW9zdkVrbGJCZTZfaVd5R3JncGVMdzV3c3d6eXlBdGJKOV8tMTJ3?oc=5,storage-specific language; Ireland-sited or Ireland-specific; >=50 MW; operational; connected; planning; counting rule present
28,99,Promising,in Ireland,storage-news-f73e02eab6d9,Centrica’s 100MW Ireland proposal pits battery against natural gas - Energy-Storage.News,Watch item,Battery energy storage,100.0,,,,Ireland,,,Centrica’s 100MW Ireland proposal pits battery against natural gas Energy-Storage.News,Do not include in renewable generation totals unless this is explicitly connected renewable generation.,Energy-Storage.News,https://news.google.com/rss/articles/CBMinwFBVV95cUxPeVlNNWVaaDd5Wi1zZEQxNTRGRHMwM1h0a2R5djFaUGtocGdZTVdabnlmWWE0aVRSVUpwdFhabWZMMlFJY1NkTTdUWUoxTkd5ZmVKb1BhU241SmtsSVg2RG1faUpFWmRPS1g0VlFobnNEcXJBRGVBSkF3eUhuSHdLM2FVakdWOXFiVmxqVUZvcTVnSXBFZVlfc3draDdVQTQ?oc=5,storage-specific language; Ireland-sited or Ireland-specific; >=50 MW; operational; connected; planning; counting rule present
29,99,Promising,in Ireland,storage-news-e71cef92c902,New €2bn Irish project unveiled that would store excess renewable energy as hydrogen and burn it in 600MW turbine - Hydrogen Insight,Watch item,LDES / green hydrogen storage,600.0,,,2.0,Ireland,,,New €2bn Irish project unveiled that would store excess renewable energy as hydrogen and burn it in 600MW turbine Hydrogen Insight,Do not include in renewable generation totals unless this is explicitly connected renewable generation.,Hydrogen Insight,https://news.google.com/rss/articles/CBMi9AFBVV95cUxPbGdFSm5VbXBpUHlzNUlXWWNIQWx6NTBKRGUtcThaR3RvUzR0M3NocURFTzJwMmh1NVJVZW5XVTQ0ZnY4djl0TmJvOXc4RnE2a0NqUGl3c21nN1EwX3BVVXRkV2N0MWhYcmtnb2lYa1JoLU1mY0FTbmVzeC1YQ052Q0g0ZnJGUWdqeXR5Vk92elMtYmdvajhtYVRtb1pENm51YXU0RFA0U1ZsTWUtMnU2aG9SMzJ2T1czM0d1eldOejZjZlk3cmUzcXdCTWZEZjhvdWZfdkVab3B1TGVVUWNobUZrMHFsbVBja0hlVlVManNGa3dK?oc=5,storage-specific language; Ireland-sited or Ireland-specific; >=50 MW; operational; connected; planning; counting rule present
